ltvMin;ltvMax;ticketMin;ticketMax;scoreMin;scoreMax;maturity;carAgeMin;carAgeMax;grossMonthlyIncomeMin;grossMonthlyIncomeMax;state;versionDate;monthlyInterestRate
0;0.1;0;5000;200;299;12;0;1;0;10000000;SP;2020-05-05;0.0397
0;0.1;0;5000;200;299;12;2;3;0;10000000;SP;2020-05-05;0.0397
0;0.1;0;5000;200;299;12;4;5;0;10000000;SP;2020-05-05;0.0397
0;0.1;0;5000;200;299;12;6;7;0;10000000;SP;2020-05-05;0.0397
0;0.1;0;5000;200;299;12;8;9;0;10000000;SP;2020-05-05;0.0397
0;0.1;0;5000;200;299;12;10;11;0;10000000;SP;2020-05-05;0.0404
0;0.1;0;5000;200;299;12;12;13;0;10000000;SP;2020-05-05;0.0424
0;0.1;0;5000;200;299;12;14;15;0;10000000;SP;2020-05-05;0.0449
0;0.1;0;5000;200;299;18;0;1;0;10000000;SP;2020-05-05;0.0369
0;0.1;0;5000;200;299;18;2;3;0;10000000;SP;2020-05-05;0.0369
0;0.1;0;5000;200;299;18;4;5;0;10000000;SP;2020-05-05;0.0369
0;0.1;0;5000;200;299;18;6;7;0;10000000;SP;2020-05-05;0.0369
0;0.1;0;5000;200;299;18;8;9;0;10000000;SP;2020-05-05;0.0369
0;0.1;0;5000;200;299;18;10;11;0;10000000;SP;2020-05-05;0.0377
0;0.1;0;5000;200;299;18;12;13;0;10000000;SP;2020-05-05;0.0410
0;0.1;0;5000;200;299;18;14;15;0;10000000;SP;2020-05-05;0.0436
0;0.1;0;5000;200;299;24;0;1;0;10000000;SP;2020-05-05;0.0357
0;0.1;0;5000;200;299;24;2;3;0;10000000;SP;2020-05-05;0.0357
0;0.1;0;5000;200;299;24;4;5;0;10000000;SP;2020-05-05;0.0357
0;0.1;0;5000;200;299;24;6;7;0;10000000;SP;2020-05-05;0.0357
0;0.1;0;5000;200;299;24;8;9;0;10000000;SP;2020-05-05;0.0357
0;0.1;0;5000;200;299;24;10;11;0;10000000;SP;2020-05-05;0.0371
0;0.1;0;5000;200;299;24;12;13;0;10000000;SP;2020-05-05;0.0409
0;0.1;0;5000;200;299;24;14;15;0;10000000;SP;2020-05-05;0.0435
0;0.1;0;5000;200;299;30;0;1;0;10000000;SP;2020-05-05;0.0348
0;0.1;0;5000;200;299;30;2;3;0;10000000;SP;2020-05-05;0.0348
0;0.1;0;5000;200;299;30;4;5;0;10000000;SP;2020-05-05;0.0348
0;0.1;0;5000;200;299;30;6;7;0;10000000;SP;2020-05-05;0.0348
0;0.1;0;5000;200;299;30;8;9;0;10000000;SP;2020-05-05;0.0348
0;0.1;0;5000;200;299;30;10;11;0;10000000;SP;2020-05-05;0.0375
0;0.1;0;5000;200;299;30;12;13;0;10000000;SP;2020-05-05;0.0411
0;0.1;0;5000;200;299;30;14;15;0;10000000;SP;2020-05-05;0.0436
0;0.1;0;5000;200;299;36;0;1;0;10000000;SP;2020-05-05;0.0344
0;0.1;0;5000;200;299;36;2;3;0;10000000;SP;2020-05-05;0.0344
0;0.1;0;5000;200;299;36;4;5;0;10000000;SP;2020-05-05;0.0344
0;0.1;0;5000;200;299;36;6;7;0;10000000;SP;2020-05-05;0.0344
0;0.1;0;5000;200;299;36;8;9;0;10000000;SP;2020-05-05;0.0344
0;0.1;0;5000;200;299;36;10;11;0;10000000;SP;2020-05-05;0.0383
0;0.1;0;5000;200;299;36;12;13;0;10000000;SP;2020-05-05;0.0418
0;0.1;0;5000;200;299;36;14;15;0;10000000;SP;2020-05-05;0.0442
0;0.1;0;5000;200;299;42;0;1;0;10000000;SP;2020-05-05;0.0342
0;0.1;0;5000;200;299;42;2;3;0;10000000;SP;2020-05-05;0.0342
0;0.1;0;5000;200;299;42;4;5;0;10000000;SP;2020-05-05;0.0342
0;0.1;0;5000;200;299;42;6;7;0;10000000;SP;2020-05-05;0.0342
0;0.1;0;5000;200;299;42;8;9;0;10000000;SP;2020-05-05;0.0342
0;0.1;0;5000;200;299;42;10;11;0;10000000;SP;2020-05-05;0.0392
0;0.1;0;5000;200;299;42;12;13;0;10000000;SP;2020-05-05;0.0425
0;0.1;0;5000;200;299;42;14;15;0;10000000;SP;2020-05-05;0.0448
0;0.1;0;5000;200;299;48;0;1;0;10000000;SP;2020-05-05;0.0341
0;0.1;0;5000;200;299;48;2;3;0;10000000;SP;2020-05-05;0.0341
0;0.1;0;5000;200;299;48;4;5;0;10000000;SP;2020-05-05;0.0341
0;0.1;0;5000;200;299;48;6;7;0;10000000;SP;2020-05-05;0.0341
0;0.1;0;5000;200;299;48;8;9;0;10000000;SP;2020-05-05;0.0344
0;0.1;0;5000;200;299;48;10;11;0;10000000;SP;2020-05-05;0.0402
0;0.1;0;5000;200;299;48;12;13;0;10000000;SP;2020-05-05;0.0433
0;0.1;0;5000;200;299;48;14;15;0;10000000;SP;2020-05-05;0.0454
0;0.1;0;5000;200;299;54;0;1;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;54;2;3;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;54;4;5;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;54;6;7;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;54;8;9;0;10000000;SP;2020-05-05;0.0350
0;0.1;0;5000;200;299;54;10;11;0;10000000;SP;2020-05-05;0.0411
0;0.1;0;5000;200;299;54;12;13;0;10000000;SP;2020-05-05;0.0440
0;0.1;0;5000;200;299;54;14;15;0;10000000;SP;2020-05-05;0.0460
0;0.1;0;5000;200;299;60;0;1;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;60;2;3;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;60;4;5;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;60;6;7;0;10000000;SP;2020-05-05;0.0340
0;0.1;0;5000;200;299;60;8;9;0;10000000;SP;2020-05-05;0.0357
0;0.1;0;5000;200;299;60;10;11;0;10000000;SP;2020-05-05;0.0421
0;0.1;0;5000;200;299;60;12;13;0;10000000;SP;2020-05-05;0.0448
0;0.1;0;5000;200;299;60;14;15;0;10000000;SP;2020-05-05;0.0467
0;0.1;0;5000;300;399;12;0;1;0;10000000;SP;2020-05-05;0.0378
0;0.1;0;5000;300;399;12;2;3;0;10000000;SP;2020-05-05;0.0378
0;0.1;0;5000;300;399;12;4;5;0;10000000;SP;2020-05-05;0.0378
0;0.1;0;5000;300;399;12;6;7;0;10000000;SP;2020-05-05;0.0378
0;0.1;0;5000;300;399;12;8;9;0;10000000;SP;2020-05-05;0.0378
0;0.1;0;5000;300;399;12;10;11;0;10000000;SP;2020-05-05;0.0383
0;0.1;0;5000;300;399;12;12;13;0;10000000;SP;2020-05-05;0.0399
0;0.1;0;5000;300;399;12;14;15;0;10000000;SP;2020-05-05;0.0418
0;0.1;0;5000;300;399;18;0;1;0;10000000;SP;2020-05-05;0.0349
0;0.1;0;5000;300;399;18;2;3;0;10000000;SP;2020-05-05;0.0349
0;0.1;0;5000;300;399;18;4;5;0;10000000;SP;2020-05-05;0.0349
0;0.1;0;5000;300;399;18;6;7;0;10000000;SP;2020-05-05;0.0349
0;0.1;0;5000;300;399;18;8;9;0;10000000;SP;2020-05-05;0.0349
0;0.1;0;5000;300;399;18;10;11;0;10000000;SP;2020-05-05;0.0355
0;0.1;0;5000;300;399;18;12;13;0;10000000;SP;2020-05-05;0.0381
0;0.1;0;5000;300;399;18;14;15;0;10000000;SP;2020-05-05;0.0401
0;0.1;0;5000;300;399;24;0;1;0;10000000;SP;2020-05-05;0.0336
0;0.1;0;5000;300;399;24;2;3;0;10000000;SP;2020-05-05;0.0336
0;0.1;0;5000;300;399;24;4;5;0;10000000;SP;2020-05-05;0.0336
0;0.1;0;5000;300;399;24;6;7;0;10000000;SP;2020-05-05;0.0336
0;0.1;0;5000;300;399;24;8;9;0;10000000;SP;2020-05-05;0.0336
0;0.1;0;5000;300;399;24;10;11;0;10000000;SP;2020-05-05;0.0347
0;0.1;0;5000;300;399;24;12;13;0;10000000;SP;2020-05-05;0.0377
0;0.1;0;5000;300;399;24;14;15;0;10000000;SP;2020-05-05;0.0397
0;0.1;0;5000;300;399;30;0;1;0;10000000;SP;2020-05-05;0.0327
0;0.1;0;5000;300;399;30;2;3;0;10000000;SP;2020-05-05;0.0327
0;0.1;0;5000;300;399;30;4;5;0;10000000;SP;2020-05-05;0.0327
0;0.1;0;5000;300;399;30;6;7;0;10000000;SP;2020-05-05;0.0327
0;0.1;0;5000;300;399;30;8;9;0;10000000;SP;2020-05-05;0.0327
0;0.1;0;5000;300;399;30;10;11;0;10000000;SP;2020-05-05;0.0348
0;0.1;0;5000;300;399;30;12;13;0;10000000;SP;2020-05-05;0.0377
0;0.1;0;5000;300;399;30;14;15;0;10000000;SP;2020-05-05;0.0396
0;0.1;0;5000;300;399;36;0;1;0;10000000;SP;2020-05-05;0.0323
0;0.1;0;5000;300;399;36;2;3;0;10000000;SP;2020-05-05;0.0323
0;0.1;0;5000;300;399;36;4;5;0;10000000;SP;2020-05-05;0.0323
0;0.1;0;5000;300;399;36;6;7;0;10000000;SP;2020-05-05;0.0323
0;0.1;0;5000;300;399;36;8;9;0;10000000;SP;2020-05-05;0.0323
0;0.1;0;5000;300;399;36;10;11;0;10000000;SP;2020-05-05;0.0354
0;0.1;0;5000;300;399;36;12;13;0;10000000;SP;2020-05-05;0.0381
0;0.1;0;5000;300;399;36;14;15;0;10000000;SP;2020-05-05;0.0400
0;0.1;0;5000;300;399;42;0;1;0;10000000;SP;2020-05-05;0.0320
0;0.1;0;5000;300;399;42;2;3;0;10000000;SP;2020-05-05;0.0320
0;0.1;0;5000;300;399;42;4;5;0;10000000;SP;2020-05-05;0.0320
0;0.1;0;5000;300;399;42;6;7;0;10000000;SP;2020-05-05;0.0320
0;0.1;0;5000;300;399;42;8;9;0;10000000;SP;2020-05-05;0.0320
0;0.1;0;5000;300;399;42;10;11;0;10000000;SP;2020-05-05;0.0360
0;0.1;0;5000;300;399;42;12;13;0;10000000;SP;2020-05-05;0.0387
0;0.1;0;5000;300;399;42;14;15;0;10000000;SP;2020-05-05;0.0405
0;0.1;0;5000;300;399;48;0;1;0;10000000;SP;2020-05-05;0.0319
0;0.1;0;5000;300;399;48;2;3;0;10000000;SP;2020-05-05;0.0319
0;0.1;0;5000;300;399;48;4;5;0;10000000;SP;2020-05-05;0.0319
0;0.1;0;5000;300;399;48;6;7;0;10000000;SP;2020-05-05;0.0319
0;0.1;0;5000;300;399;48;8;9;0;10000000;SP;2020-05-05;0.0322
0;0.1;0;5000;300;399;48;10;11;0;10000000;SP;2020-05-05;0.0368
0;0.1;0;5000;300;399;48;12;13;0;10000000;SP;2020-05-05;0.0393
0;0.1;0;5000;300;399;48;14;15;0;10000000;SP;2020-05-05;0.0410
